EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5126876,WARREN (ZONE), ,01/02/2000,945,Freezing Fog, , ,0,0,0,0,NY,EST, ,1090132,Z,42,ALY,0,0,NEWSPAPER, , , , , , , , ,01/02/2000,1230, , , , ,"A moist southerly flow produced spotty drizzle during the morning hours of January 2. Over much of Warren county, surface temperatures were right around the freezing mark. The result was black ice and numerous vehicular accidents. Some minor injuries were reported, but no major ones.","",1
5130912,SOUTHERN FRANKLIN (ZONE), ,01/02/2000,1000,Winter Weather, , ,0,0,30000,0,NY,EST, ,1090850,Z,30,BTV,0,0,TRAINED SPOTTER, , , , , , , , ,01/02/2000,1500, , , , ,"","A stationary front across northern portions of Vermont and New York during the morning of January 2nd resulted in areas of freezing rain which continued into the mid afternoon hours. Area roads were very icy with numerous automobile accidents.",2
5130913,SOUTHERN ST. LAWRENCE (ZONE), ,01/03/2000,2000,Winter Storm, , ,0,0,5000,0,NY,EST, ,1090851,Z,29,BTV,0,0,LAW ENFORCEMENT, , , , , , , , ,01/04/2000,500, , , , ,"","A storm system moved through the eastern Great Lakes Monday night, January 3rd and then into Canada on Tuesday, January 4th. Across the entire county, generally between 2 and 3 inches of snow fell with up to 1/2 inch of ice from freezing rain. The precipitation changed to rain Tuesday.",3
5130952,NORTHERN FRANKLIN (ZONE), ,01/03/2000,2000,Winter Weather, , ,0,0,5000,0,NY,EST, ,1090852,Z,27,BTV,0,0,TRAINED SPOTTER, , , , , , , , ,01/04/2000,500, , , , ,"","A storm system moved through the eastern Great Lakes Monday night, January 3rd and then into Canada on Tuesday, January 4th. Across the area, generally between 2 and 3 inches of snow fell with up to 1/4 inch of ice from freezing rain. The precipitation changed to rain Tuesday.",4
5130951,NORTHERN ST. LAWRENCE (ZONE), ,01/03/2000,2000,Winter Storm, , ,0,0,5000,0,NY,EST, ,1090851,Z,26,BTV,0,0,LAW ENFORCEMENT, , , , , , , , ,01/04/2000,500, , , , ,"","A storm system moved through the eastern Great Lakes Monday night, January 3rd and then into Canada on Tuesday, January 4th. Across the entire county, generally between 2 and 3 inches of snow fell with up to 1/2 inch of ice from freezing rain. The precipitation changed to rain Tuesday.",5
5130953,SOUTHERN FRANKLIN (ZONE), ,01/03/2000,2000,Winter Weather, , ,0,0,5000,0,NY,EST, ,1090852,Z,30,BTV,0,0,TRAINED SPOTTER, , , , , , , , ,01/04/2000,500, , , , ,"","A storm system moved through the eastern Great Lakes Monday night, January 3rd and then into Canada on Tuesday, January 4th. Across the area, generally between 2 and 3 inches of snow fell with up to 1/4 inch of ice from freezing rain. The precipitation changed to rain Tuesday.",6
5130954,EASTERN ESSEX (ZONE), ,01/03/2000,2000,Winter Weather, , ,0,0,5000,0,NY,EST, ,1090852,Z,35,BTV,0,0,TRAINED SPOTTER, , , , , , , , ,01/04/2000,500, , , , ,"","A storm system moved through the eastern Great Lakes Monday night, January 3rd and then into Canada on Tuesday, January 4th. Across the area, generally between 2 and 3 inches of snow fell with up to 1/4 inch of ice from freezing rain. The precipitation changed to rain Tuesday.",7
5130955,WESTERN ESSEX (ZONE), ,01/03/2000,2000,Winter Weather, , ,0,0,5000,0,NY,EST, ,1090852,Z,34,BTV,0,0,TRAINED SPOTTER, , , , , , , , ,01/04/2000,500, , , , ,"","A storm system moved through the eastern Great Lakes Monday night, January 3rd and then into Canada on Tuesday, January 4th. Across the area, generally between 2 and 3 inches of snow fell with up to 1/4 inch of ice from freezing rain. The precipitation changed to rain Tuesday.",8
5130957,SOUTHWEST CLINTON (ZONE), ,01/03/2000,2000,Winter Weather, , ,0,0,5000,0,NY,EST, ,1090852,Z,31,BTV,0,0,TRAINED SPOTTER, , , , , , , , ,01/04/2000,500, , , , ,"","A storm system moved through the eastern Great Lakes Monday night, January 3rd and then into Canada on Tuesday, January 4th. Across the area, generally between 2 and 3 inches of snow fell with up to 1/4 inch of ice from freezing rain. The precipitation changed to rain Tuesday.",9
5130956,NORTHEAST CLINTON (ZONE), ,01/03/2000,2000,Winter Weather, , ,0,0,5000,0,NY,EST, ,1090852,Z,28,BTV,0,0,TRAINED SPOTTER, , , , , , , , ,01/04/2000,500, , , , ,"","A storm system moved through the eastern Great Lakes Monday night, January 3rd and then into Canada on Tuesday, January 4th. Across the area, generally between 2 and 3 inches of snow fell with up to 1/4 inch of ice from freezing rain. The precipitation changed to rain Tuesday.",10
